id	Y1	Y2	Y3	Y4	q	baanduur	SBIgroep	w
1	1	1	1	1	1	1	1	290
2	1	1	1	1	1	1	2	10
3	1	1	1	1	1	2	1	1440
4	1	1	1	1	1	2	2	90
5	1	1	1	1	2	1	1	340
6	1	1	1	1	2	1	2	20
7	1	1	1	1	2	2	1	1910
8	1	1	1	1	2	2	2	50
9	1	1	1	2	1	1	1	10
10	1	1	1	2	1	2	1	80
11	1	1	1	2	2	1	1	30
12	1	1	1	2	2	2	1	120
13	1	1	1	3	1	1	1	10
14	1	1	1	3	1	1	2	10
15	1	1	1	3	1	2	1	90
16	1	1	1	3	2	1	1	20
17	1	1	1	3	2	2	1	100
18	1	1	2	1	1	1	1	10
19	1	1	2	1	1	2	1	90
20	1	1	2	1	2	1	1	20
21	1	1	2	1	2	1	2	10
22	1	1	2	1	2	2	1	100
23	1	1	2	1	2	2	2	10
24	1	1	2	2	1	2	1	10
25	1	1	2	2	2	1	1	10
26	1	1	2	3	1	1	1	10
27	1	1	3	1	1	1	1	50
28	1	1	3	1	1	2	1	50
29	1	1	3	1	1	2	2	10
30	1	1	3	1	2	1	1	40
31	1	1	3	1	2	1	2	10
32	1	1	3	3	1	1	1	10
33	1	1	3	3	1	2	1	10
34	1	1	3	3	1	2	2	10
35	1	1	3	3	2	2	1	10
36	1	2	1	1	1	1	1	40
37	1	2	1	1	1	2	1	50
38	1	2	1	1	2	1	1	40
39	1	2	1	1	2	1	2	10
40	1	2	1	1	2	2	1	100
41	1	2	1	2	1	1	1	10
42	1	2	1	2	1	2	1	10
43	1	2	1	2	2	2	1	10
44	1	2	1	3	1	2	1	10
45	1	2	1	3	2	2	1	10
46	1	2	2	1	2	1	1	20
47	1	2	2	2	1	1	1	60
48	1	2	2	2	1	2	1	10
49	1	2	2	2	2	1	1	30
50	1	2	2	2	2	2	1	10
51	1	2	2	3	2	2	1	10
52	1	3	1	1	1	1	1	40
53	1	3	1	1	1	1	2	10
54	1	3	1	1	1	2	1	60
55	1	3	1	1	2	1	1	20
56	1	3	1	1	2	2	1	20
57	1	3	1	2	2	1	2	10
58	1	3	1	2	2	2	1	20
59	1	3	1	3	1	2	2	10
60	1	3	1	3	2	2	1	10
61	1	3	2	2	2	2	1	10
62	1	3	3	1	1	1	1	20
63	1	3	3	1	2	1	1	30
64	1	3	3	1	2	1	2	10
65	1	3	3	3	1	1	2	10
66	1	3	3	3	1	2	1	10
67	1	3	3	3	1	2	2	10
68	1	3	3	3	2	1	1	10
69	1	3	3	3	2	1	2	20
70	2	1	1	1	1	1	1	10
71	2	1	1	1	1	1	2	10
72	2	1	1	1	1	2	1	80
73	2	1	1	1	2	1	1	30
74	2	1	1	1	2	2	1	100
75	2	1	1	2	2	1	1	10
76	2	1	1	3	2	1	1	10
77	2	1	1	3	2	2	1	10
78	2	1	2	2	1	1	1	40
79	2	1	2	2	2	1	1	30
80	2	1	3	1	1	2	1	20
81	2	1	3	2	1	2	1	10
82	2	2	1	1	1	1	1	20
83	2	2	1	2	1	1	1	30
84	2	2	1	2	2	1	1	50
85	2	2	2	1	1	1	1	30
86	2	2	2	1	2	1	1	50
87	2	2	2	1	2	2	1	10
88	2	2	2	2	1	1	1	690
89	2	2	2	2	1	2	1	50
90	2	2	2	2	2	1	1	770
91	2	2	2	2	2	1	2	10
92	2	2	2	2	2	2	1	10
93	2	2	2	3	1	1	1	60
94	2	2	2	3	2	1	1	50
95	2	2	2	3	2	2	1	10
96	2	2	3	2	1	1	1	30
97	2	2	3	2	2	1	1	60
98	2	2	3	2	2	2	1	10
99	2	3	1	1	2	1	2	10
100	2	3	1	2	1	1	1	10
101	2	3	1	2	2	1	1	10
102	2	3	2	1	2	1	1	10
103	2	3	2	2	1	1	1	80
104	2	3	2	2	2	1	1	50
105	2	3	2	3	2	1	1	10
106	2	3	3	2	1	1	1	10
107	2	3	3	2	2	1	1	10
108	2	3	3	3	1	1	1	10
109	2	3	3	3	1	2	1	10
110	2	3	3	3	2	1	1	10
111	3	1	1	1	1	1	1	30
112	3	1	1	1	1	2	1	40
